plant,insect,group
"Heracleum sphondylium","Lasioglossum morio","Bee"
"Inula conyzae","Lasioglossum morio","Bee"
"Inula crithmoides","Lasioglossum morio","Bee"
"Jasione montana","Lasioglossum morio","Bee"
"Lamiastrum galeobdolon","Lasioglossum morio","Bee"
"Leontodon hispidus","Lasioglossum morio","Bee"
"Leontodon saxatilis","Lasioglossum morio","Bee"
"Leucanthemum lacustre x maximum = L. x superbum","Lasioglossum morio","Bee"
"Leucanthemum vulgare","Lasioglossum morio","Bee"
"Orobanche hederae","Lasioglossum morio","Bee"
"Pentaglottis sempervirens","Lasioglossum morio","Bee"
"Pilosella officinarum","Lasioglossum morio","Bee"
"Prunus domestica","Lasioglossum morio","Bee"
"Ranunculus acris","Lasioglossum morio","Bee"
"Ranunculus aquatilis","Lasioglossum morio","Bee"
"Ranunculus bulbosus","Lasioglossum morio","Bee"
"Ranunculus flammula","Lasioglossum morio","Bee"
"Ranunculus lingua","Lasioglossum morio","Bee"
"Ranunculus repens","Lasioglossum morio","Bee"
"Rubus fruticosus","Lasioglossum morio","Bee"
"Salix alba","Lasioglossum morio","Bee"
"Salix aurita","Lasioglossum morio","Bee"
"Salix caprea","Lasioglossum morio","Bee"
"Salix cinerea","Lasioglossum morio","Bee"
"Salix fragilis","Lasioglossum morio","Bee"
"Salix pentandra","Lasioglossum morio","Bee"
"Salix repens","Lasioglossum morio","Bee"
"Salix viminalis","Lasioglossum morio","Bee"
"Scabiosa columbaria","Lasioglossum morio","Bee"
"Scorzoneroides autumnalis","Lasioglossum morio","Bee"
"Scrophularia auriculata","Lasioglossum morio","Bee"
"Scrophularia nodosa","Lasioglossum morio","Bee"
"Senecio aquaticus","Lasioglossum morio","Bee"
"Senecio cineraria","Lasioglossum morio","Bee"
"Senecio erucifolius","Lasioglossum morio","Bee"
"Senecio jacobaea","Lasioglossum morio","Bee"
"Senecio squalidus","Lasioglossum morio","Bee"
"Senecio vulgaris","Lasioglossum morio","Bee"
"Sonchus arvensis","Lasioglossum morio","Bee"
"Taraxacum","Lasioglossum morio","Bee"
"Tussilago farfara","Lasioglossum morio","Bee"
"Veronica beccabunga","Lasioglossum morio","Bee"
"Veronica chamaedrys","Lasioglossum morio","Bee"
"Veronica officinalis","Lasioglossum morio","Bee"
"Veronica persica","Lasioglossum morio","Bee"
"Veronica spicata","Lasioglossum morio","Bee"
"Acer campestre","Lasioglossum parvulum","Bee"
"Aegopodium podagraria","Lasioglossum parvulum","Bee"
"Allium triquetrum","Lasioglossum parvulum","Bee"
"Cirsium arvense","Lasioglossum parvulum","Bee"
"Crataegus monogyna","Lasioglossum parvulum","Bee"
"Crepis capillaris","Lasioglossum parvulum","Bee"
"Euphorbia amygdaloides","Lasioglossum parvulum","Bee"
"Heracleum sphondylium","Lasioglossum parvulum","Bee"
"Lamium album","Lasioglossum parvulum","Bee"
"Laurus nobilis","Lasioglossum parvulum","Bee"
"Leontodon hispidus","Lasioglossum parvulum","Bee"
"Leontodon saxatilis","Lasioglossum parvulum","Bee"
"Leucanthemum vulgare","Lasioglossum parvulum","Bee"
"Persicaria maculosa","Lasioglossum parvulum","Bee"
"Potentilla erecta","Lasioglossum parvulum","Bee"
"Prunus domestica","Lasioglossum parvulum","Bee"
"Scorzoneroides autumnalis","Lasioglossum parvulum","Bee"
"Senecio aquaticus","Lasioglossum parvulum","Bee"
"Senecio cineraria","Lasioglossum parvulum","Bee"
"Senecio erucifolius","Lasioglossum parvulum","Bee"
"Senecio jacobaea","Lasioglossum parvulum","Bee"
"Senecio squalidus","Lasioglossum parvulum","Bee"
"Senecio vulgaris","Lasioglossum parvulum","Bee"
"Taraxacum","Lasioglossum parvulum","Bee"
"Achillea millefolium","Lasioglossum pauxillum","Bee"
"Achillea ptarmica","Lasioglossum pauxillum","Bee"
"Bellis perennis","Lasioglossum pauxillum","Bee"
"Cirsium arvense","Lasioglossum pauxillum","Bee"
"Cirsium vulgare","Lasioglossum pauxillum","Bee"
"Conium maculatum","Lasioglossum pauxillum","Bee"
"Daucus carota","Lasioglossum pauxillum","Bee"
"Ficaria verna","Lasioglossum pauxillum","Bee"
"Heracleum sphondylium","Lasioglossum pauxillum","Bee"
"Inula conyzae","Lasioglossum pauxillum","Bee"
"Inula crithmoides","Lasioglossum pauxillum","Bee"
"Inula helenium","Lasioglossum pauxillum","Bee"
"Knautia arvensis","Lasioglossum pauxillum","Bee"
"Leucanthemum vulgare","Lasioglossum pauxillum","Bee"
"Ranunculus acris","Lasioglossum pauxillum","Bee"
"Ranunculus aquatilis","Lasioglossum pauxillum","Bee"
"Ranunculus bulbosus","Lasioglossum pauxillum","Bee"
"Ranunculus flammula","Lasioglossum pauxillum","Bee"
"Ranunculus lingua","Lasioglossum pauxillum","Bee"
"Ranunculus repens","Lasioglossum pauxillum","Bee"
"Scabiosa columbaria","Lasioglossum pauxillum","Bee"
"Senecio jacobaea","Lasioglossum pauxillum","Bee"
"Solidago virgaurea","Lasioglossum pauxillum","Bee"
"Taraxacum","Lasioglossum pauxillum","Bee"
"Tussilago farfara","Lasioglossum pauxillum","Bee"
"Veronica chamaedrys","Lasioglossum pauxillum","Bee"
"Calluna vulgaris","Lasioglossum prasinum","Bee"
"Cirsium acaule","Lasioglossum prasinum","Bee"
"Cirsium arvense","Lasioglossum prasinum","Bee"
"Cirsium dissectum","Lasioglossum prasinum","Bee"
"Cirsium eriophorum","Lasioglossum prasinum","Bee"
"Cirsium heterophyllum","Lasioglossum prasinum","Bee"
"Cirsium palustre","Lasioglossum prasinum","Bee"
"Cirsium tuberosum","Lasioglossum prasinum","Bee"
"Cirsium vulgare","Lasioglossum prasinum","Bee"
"Aster tripolium","Lasioglossum punctatissimum","Bee"
"Bellis perennis","Lasioglossum punctatissimum","Bee"
"Cuscuta epithymum","Lasioglossum punctatissimum","Bee"
"Erica cinerea","Lasioglossum punctatissimum","Bee"
"Lotus corniculatus","Lasioglossum punctatissimum","Bee"
"Pilosella officinarum","Lasioglossum punctatissimum","Bee"
"Potentilla erecta","Lasioglossum punctatissimum","Bee"
"Taraxacum","Lasioglossum punctatissimum","Bee"
"Vicia sativa","Lasioglossum punctatissimum","Bee"
"Blackstonia perfoliata","Lasioglossum puncticolle","Bee"
"Carduus nutans","Lasioglossum puncticolle","Bee"
"Convolvulus arvensis","Lasioglossum puncticolle","Bee"
"Daucus carota","Lasioglossum puncticolle","Bee"
"Helminthotheca echioides","Lasioglossum puncticolle","Bee"
"Hypochaeris radicata","Lasioglossum puncticolle","Bee"
"Lotus corniculatus","Lasioglossum puncticolle","Bee"
"Picris hieracioides","Lasioglossum puncticolle","Bee"
"Pilosella officinarum","Lasioglossum puncticolle","Bee"
"Pulicaria dysenterica","Lasioglossum puncticolle","Bee"
"Ranunculus repens","Lasioglossum puncticolle","Bee"
"Senecio aquaticus","Lasioglossum puncticolle","Bee"
"Senecio cineraria","Lasioglossum puncticolle","Bee"
"Senecio erucifolius","Lasioglossum puncticolle","Bee"
"Senecio jacobaea","Lasioglossum puncticolle","Bee"
"Senecio squalidus","Lasioglossum puncticolle","Bee"
"Senecio vulgaris","Lasioglossum puncticolle","Bee"
"Taraxacum","Lasioglossum puncticolle","Bee"
"Senecio jacobaea","Lasioglossum quadrinotatum","Bee"
"Cirsium arvense","Lasioglossum rufitarse","Bee"
"Achillea millefolium","Lasioglossum smeathmanellum","Bee"
"Achillea ptarmica","Lasioglossum smeathmanellum","Bee"
"Allium triquetrum","Lasioglossum smeathmanellum","Bee"
"Anthriscus sylvestris","Lasioglossum smeathmanellum","Bee"
"Armeria maritima","Lasioglossum smeathmanellum","Bee"
"Aster tripolium","Lasioglossum smeathmanellum","Bee"
"Bellis perennis","Lasioglossum smeathmanellum","Bee"
"Brassica nigra","Lasioglossum smeathmanellum","Bee"
"Bryonia dioica","Lasioglossum smeathmanellum","Bee"
"Campanula glomerata","Lasioglossum smeathmanellum","Bee"
"Campanula latifolia","Lasioglossum smeathmanellum","Bee"
"Campanula persicifolia","Lasioglossum smeathmanellum","Bee"
"Campanula rotundifolia","Lasioglossum smeathmanellum","Bee"
"Campanula trachelium","Lasioglossum smeathmanellum","Bee"
"Chamerion angustifolium","Lasioglossum smeathmanellum","Bee"
"Cymbalaria muralis","Lasioglossum smeathmanellum","Bee"
"Daucus carota","Lasioglossum smeathmanellum","Bee"
"Erysimum cheiri","Lasioglossum smeathmanellum","Bee"
"Heracleum sphondylium","Lasioglossum smeathmanellum","Bee"
"Hypericum androsaemum","Lasioglossum smeathmanellum","Bee"
"Leontodon hispidus","Lasioglossum smeathmanellum","Bee"
"Leontodon saxatilis","Lasioglossum smeathmanellum","Bee"
"Leucanthemum lacustre x maximum = L. x superbum","Lasioglossum smeathmanellum","Bee"
"Matricaria discoidea","Lasioglossum smeathmanellum","Bee"
"Matricaria recutita","Lasioglossum smeathmanellum","Bee"
"Prunus domestica","Lasioglossum smeathmanellum","Bee"
"Scorzoneroides autumnalis","Lasioglossum smeathmanellum","Bee"
"Sedum acre","Lasioglossum smeathmanellum","Bee"
"Sedum anglicum","Lasioglossum smeathmanellum","Bee"
"Sedum rupestre","Lasioglossum smeathmanellum","Bee"
"Sedum telephium","Lasioglossum smeathmanellum","Bee"
"Senecio jacobaea","Lasioglossum smeathmanellum","Bee"
"Senecio vulgaris","Lasioglossum smeathmanellum","Bee"
"Silene uniflora","Lasioglossum smeathmanellum","Bee"
"Solidago canadensis","Lasioglossum smeathmanellum","Bee"
"Solidago virgaurea","Lasioglossum smeathmanellum","Bee"
"Sonchus oleraceus","Lasioglossum smeathmanellum","Bee"
"Spergularia rubra","Lasioglossum smeathmanellum","Bee"
"Spergularia rupicola","Lasioglossum smeathmanellum","Bee"
"Taraxacum","Lasioglossum smeathmanellum","Bee"
"Tussilago farfara","Lasioglossum smeathmanellum","Bee"
"Allium triquetrum","Lasioglossum villosulum","Bee"
"Bellis perennis","Lasioglossum villosulum","Bee"
"Centaurea cyanus","Lasioglossum villosulum","Bee"
"Centaurea nigra","Lasioglossum villosulum","Bee"
"Centaurea scabiosa","Lasioglossum villosulum","Bee"
"Crepis biennis","Lasioglossum villosulum","Bee"
"Crepis capillaris","Lasioglossum villosulum","Bee"
"Crepis vesicaria","Lasioglossum villosulum","Bee"
"Daucus carota","Lasioglossum villosulum","Bee"
"Helminthotheca echioides","Lasioglossum villosulum","Bee"
"Hypochaeris radicata","Lasioglossum villosulum","Bee"
"Inula crithmoides","Lasioglossum villosulum","Bee"
"Jasione montana","Lasioglossum villosulum","Bee"
"Leontodon hispidus","Lasioglossum villosulum","Bee"
"Leontodon saxatilis","Lasioglossum villosulum","Bee"
"Leucanthemum vulgare","Lasioglossum villosulum","Bee"
"Lonicera periclymenum","Lasioglossum villosulum","Bee"
"Origanum vulgare","Lasioglossum villosulum","Bee"
"Picris hieracioides","Lasioglossum villosulum","Bee"
"Pilosella officinarum","Lasioglossum villosulum","Bee"
"Potentilla erecta","Lasioglossum villosulum","Bee"
"Prunus domestica","Lasioglossum villosulum","Bee"
"Pulicaria dysenterica","Lasioglossum villosulum","Bee"
"Ranunculus repens","Lasioglossum villosulum","Bee"
"Scorzoneroides autumnalis","Lasioglossum villosulum","Bee"
"Senecio aquaticus","Lasioglossum villosulum","Bee"
"Senecio cineraria","Lasioglossum villosulum","Bee"
"Senecio erucifolius","Lasioglossum villosulum","Bee"
"Senecio jacobaea","Lasioglossum villosulum","Bee"
"Senecio squalidus","Lasioglossum villosulum","Bee"
"Senecio vulgaris","Lasioglossum villosulum","Bee"
"Sonchus arvensis","Lasioglossum villosulum","Bee"
"Sonchus asper","Lasioglossum villosulum","Bee"
"Sonchus oleraceus","Lasioglossum villosulum","Bee"
"Taraxacum","Lasioglossum villosulum","Bee"
"Tussilago farfara","Lasioglossum villosulum","Bee"
"Ulex europaeus","Lasioglossum villosulum","Bee"
"Bellis perennis","Lasioglossum xanthopus","Bee"
"Centaurea cyanus","Lasioglossum xanthopus","Bee"
"Centaurea nigra","Lasioglossum xanthopus","Bee"
"Centaurea scabiosa","Lasioglossum xanthopus","Bee"
"Cichorium intybus","Lasioglossum xanthopus","Bee"
"Cirsium acaule","Lasioglossum xanthopus","Bee"
"Crataegus monogyna","Lasioglossum xanthopus","Bee"
"Ficaria verna","Lasioglossum xanthopus","Bee"
"Knautia arvensis","Lasioglossum xanthopus","Bee"
"Lamium purpureum","Lasioglossum xanthopus","Bee"
"Prunus spinosa","Lasioglossum xanthopus","Bee"
"Ranunculus acris","Lasioglossum xanthopus","Bee"
"Ranunculus aquatilis","Lasioglossum xanthopus","Bee"
"Ranunculus bulbosus","Lasioglossum xanthopus","Bee"
"Ranunculus flammula","Lasioglossum xanthopus","Bee"
"Ranunculus lingua","Lasioglossum xanthopus","Bee"
"Ranunculus repens","Lasioglossum xanthopus","Bee"
"Scabiosa columbaria","Lasioglossum xanthopus","Bee"
"Taraxacum","Lasioglossum xanthopus","Bee"
"Tussilago farfara","Lasioglossum xanthopus","Bee"
"Veronica chamaedrys","Lasioglossum xanthopus","Bee"
"Vicia faba","Lasioglossum xanthopus","Bee"
"Alliaria petiolata","Lasioglossum zonulum","Bee"
"Bellis perennis","Lasioglossum zonulum","Bee"
"Calluna vulgaris","Lasioglossum zonulum","Bee"
"Centaurea cyanus","Lasioglossum zonulum","Bee"
"Centaurea nigra","Lasioglossum zonulum","Bee"
"Centaurea scabiosa","Lasioglossum zonulum","Bee"
"Crataegus monogyna","Lasioglossum zonulum","Bee"
"Ficaria verna","Lasioglossum zonulum","Bee"
"Jasione montana","Lasioglossum zonulum","Bee"
"Pulicaria dysenterica","Lasioglossum zonulum","Bee"
"Ranunculus acris","Lasioglossum zonulum","Bee"
"Ranunculus aquatilis","Lasioglossum zonulum","Bee"
"Ranunculus bulbosus","Lasioglossum zonulum","Bee"
"Ranunculus flammula","Lasioglossum zonulum","Bee"
"Ranunculus lingua","Lasioglossum zonulum","Bee"
"Ranunculus repens","Lasioglossum zonulum","Bee"
"Rubus caesius","Lasioglossum zonulum","Bee"
"Rubus fruticosus","Lasioglossum zonulum","Bee"
"Rubus idaeus","Lasioglossum zonulum","Bee"
"Rubus spectabilis","Lasioglossum zonulum","Bee"
"Senecio aquaticus","Lasioglossum zonulum","Bee"
"Senecio cineraria","Lasioglossum zonulum","Bee"
"Senecio erucifolius","Lasioglossum zonulum","Bee"
"Senecio jacobaea","Lasioglossum zonulum","Bee"
"Senecio squalidus","Lasioglossum zonulum","Bee"
"Senecio vulgaris","Lasioglossum zonulum","Bee"
"Succisa pratensis","Lasioglossum zonulum","Bee"
"Trifolium repens","Lasioglossum zonulum","Bee"
"Veronica beccabunga","Lasioglossum zonulum","Bee"
"Veronica chamaedrys","Lasioglossum zonulum","Bee"
"Veronica officinalis","Lasioglossum zonulum","Bee"
"Veronica persica","Lasioglossum zonulum","Bee"
"Veronica spicata","Lasioglossum zonulum","Bee"
"Cirsium arvense","Macropis europaea","Bee"
"Frangula alnus","Macropis europaea","Bee"
"Lycopus europaeus","Macropis europaea","Bee"
"Lysimachia nemorum","Macropis europaea","Bee"
"Lysimachia vulgaris","Macropis europaea","Bee"
"Mentha aquatica","Macropis europaea","Bee"
"Peucedanum palustre","Macropis europaea","Bee"
"Rubus caesius","Macropis europaea","Bee"
"Rubus fruticosus","Macropis europaea","Bee"
"Rubus idaeus","Macropis europaea","Bee"
"Rubus spectabilis","Macropis europaea","Bee"
"Armeria maritima","Megachile centuncularis","Bee"
"Bryonia dioica","Megachile centuncularis","Bee"
"Calendula officinalis","Megachile centuncularis","Bee"
"Campanula glomerata","Megachile centuncularis","Bee"
"Campanula latifolia","Megachile centuncularis","Bee"
"Campanula persicifolia","Megachile centuncularis","Bee"
"Campanula rotundifolia","Megachile centuncularis","Bee"
"Campanula trachelium","Megachile centuncularis","Bee"
"Cymbalaria muralis","Megachile centuncularis","Bee"
"Geranium dissectum","Megachile centuncularis","Bee"
"Geranium endressii","Megachile centuncularis","Bee"
"Geranium molle","Megachile centuncularis","Bee"
"Geranium phaeum","Megachile centuncularis","Bee"
"Geranium pratense","Megachile centuncularis","Bee"
"Geranium pyrenaicum","Megachile centuncularis","Bee"
"Geranium robertianum","Megachile centuncularis","Bee"
"Geranium sanguineum","Megachile centuncularis","Bee"
"Geranium sylvaticum","Megachile centuncularis","Bee"
"Heracleum sphondylium","Megachile centuncularis","Bee"
"Lotus corniculatus","Megachile centuncularis","Bee"
"Papaver rhoeas","Megachile centuncularis","Bee"
"Papaver somniferum","Megachile centuncularis","Bee"
"Pilosella aurantiaca","Megachile centuncularis","Bee"
"Pulicaria dysenterica","Megachile centuncularis","Bee"
"Rubus caesius","Megachile centuncularis","Bee"
"Rubus fruticosus","Megachile centuncularis","Bee"
"Rubus idaeus","Megachile centuncularis","Bee"
"Rubus spectabilis","Megachile centuncularis","Bee"
"Senecio jacobaea","Megachile centuncularis","Bee"
"Geranium sanguineum","Megachile circumcincta","Bee"
"Lotus corniculatus","Megachile circumcincta","Bee"
"Ononis repens","Megachile circumcincta","Bee"
"Ononis spinosa","Megachile circumcincta","Bee"
"Trifolium repens","Megachile circumcincta","Bee"
"Vicia sativa","Megachile circumcincta","Bee"
"Armeria maritima","Megachile leachella","Bee"
"Jasione montana","Megachile leachella","Bee"
"Leontodon hispidus","Megachile leachella","Bee"
"Leontodon saxatilis","Megachile leachella","Bee"
"Lotus corniculatus","Megachile leachella","Bee"
"Lotus tenuis","Megachile leachella","Bee"
"Melilotus albus","Megachile leachella","Bee"
"Melilotus altissimus","Megachile leachella","Bee"
"Melilotus officinalis","Megachile leachella","Bee"
"Ononis repens","Megachile leachella","Bee"
"Pilosella officinarum","Megachile leachella","Bee"
"Potentilla anserina","Megachile leachella","Bee"
"Rubus caesius","Megachile leachella","Bee"
"Rubus fruticosus","Megachile leachella","Bee"
"Rubus idaeus","Megachile leachella","Bee"
"Rubus spectabilis","Megachile leachella","Bee"
"Scorzoneroides autumnalis","Megachile leachella","Bee"
"Sedum acre","Megachile leachella","Bee"
"Sedum anglicum","Megachile leachella","Bee"
"Sedum rupestre","Megachile leachella","Bee"
"Sedum telephium","Megachile leachella","Bee"
"Senecio squalidus","Megachile leachella","Bee"
"Silene dioica","Megachile leachella","Bee"
"Arctium lappa","Megachile ligniseca","Bee"
"Arctium minus","Megachile ligniseca","Bee"
"Carduus nutans","Megachile ligniseca","Bee"
"Centaurea cyanus","Megachile ligniseca","Bee"
"Centaurea nigra","Megachile ligniseca","Bee"
"Centaurea scabiosa","Megachile ligniseca","Bee"
"Cirsium arvense","Megachile ligniseca","Bee"
"Cirsium eriophorum","Megachile ligniseca","Bee"
"Cirsium heterophyllum","Megachile ligniseca","Bee"
"Cirsium vulgare","Megachile ligniseca","Bee"
"Echium vulgare","Megachile ligniseca","Bee"
"Knautia arvensis","Megachile ligniseca","Bee"
"Lathyrus latifolius","Megachile ligniseca","Bee"
"Lathyrus linifolius","Megachile ligniseca","Bee"
"Lathyrus pratensis","Megachile ligniseca","Bee"
"Lathyrus sylvestris","Megachile ligniseca","Bee"
"Lotus corniculatus","Megachile ligniseca","Bee"
"Pulicaria dysenterica","Megachile ligniseca","Bee"
"Rubus caesius","Megachile ligniseca","Bee"
"Rubus fruticosus","Megachile ligniseca","Bee"
"Rubus idaeus","Megachile ligniseca","Bee"
"Rubus spectabilis","Megachile ligniseca","Bee"
"Scabiosa columbaria","Megachile ligniseca","Bee"
"Sedum rupestre","Megachile ligniseca","Bee"
"Senecio jacobaea","Megachile ligniseca","Bee"
"Thymus polytrichus","Megachile ligniseca","Bee"
"Thymus pulegioides","Megachile ligniseca","Bee"
"Thymus serpyllum","Megachile ligniseca","Bee"
"Geranium dissectum","Megachile maritima","Bee"
"Geranium endressii","Megachile maritima","Bee"
"Geranium molle","Megachile maritima","Bee"
"Geranium phaeum","Megachile maritima","Bee"
"Geranium pratense","Megachile maritima","Bee"
"Geranium pyrenaicum","Megachile maritima","Bee"
"Geranium robertianum","Megachile maritima","Bee"
"Geranium sanguineum","Megachile maritima","Bee"
"Geranium sylvaticum","Megachile maritima","Bee"
"Lathyrus latifolius","Megachile maritima","Bee"
"Lotus corniculatus","Megachile maritima","Bee"
"Origanum vulgare","Megachile maritima","Bee"
"Rubus fruticosus","Megachile maritima","Bee"
"Senecio jacobaea","Megachile maritima","Bee"
"Aster lanceolatus x novi-belgii = A. x salignus","Megachile versicolor","Bee"
"Aster novi-belgii","Megachile versicolor","Bee"
"Aster tripolium","Megachile versicolor","Bee"
"Carduus nutans","Megachile versicolor","Bee"
"Centaurea cyanus","Megachile versicolor","Bee"
"Centaurea nigra","Megachile versicolor","Bee"
"Centaurea scabiosa","Megachile versicolor","Bee"
"Cirsium vulgare","Megachile versicolor","Bee"
"Equisetum telmateia","Megachile versicolor","Bee"
"Geranium dissectum","Megachile versicolor","Bee"
"Geranium endressii","Megachile versicolor","Bee"
"Geranium molle","Megachile versicolor","Bee"
"Geranium phaeum","Megachile versicolor","Bee"
"Geranium pratense","Megachile versicolor","Bee"
"Geranium pyrenaicum","Megachile versicolor","Bee"
"Geranium robertianum","Megachile versicolor","Bee"
"Geranium sanguineum","Megachile versicolor","Bee"
"Geranium sylvaticum","Megachile versicolor","Bee"
"Lotus corniculatus","Megachile versicolor","Bee"
"Lotus pedunculatus","Megachile versicolor","Bee"
"Oenanthe crocata","Megachile versicolor","Bee"
"Ononis repens","Megachile versicolor","Bee"
"Pulicaria dysenterica","Megachile versicolor","Bee"
"Rubus fruticosus","Megachile versicolor","Bee"
"Scabiosa columbaria","Megachile versicolor","Bee"
"Senecio aquaticus","Megachile versicolor","Bee"
"Senecio cineraria","Megachile versicolor","Bee"
"Senecio erucifolius","Megachile versicolor","Bee"
"Senecio jacobaea","Megachile versicolor","Bee"
"Senecio squalidus","Megachile versicolor","Bee"
"Senecio vulgaris","Megachile versicolor","Bee"
"Solidago canadensis","Megachile versicolor","Bee"
"Thymus polytrichus","Megachile versicolor","Bee"
"Thymus pulegioides","Megachile versicolor","Bee"
"Thymus serpyllum","Megachile versicolor","Bee"
"Ulex minor","Megachile versicolor","Bee"
"Acer campestre","Megachile willughbiella","Bee"
"Acer platanoides","Megachile willughbiella","Bee"
"Acer pseudoplatanus","Megachile willughbiella","Bee"
"Allium schoenoprasum","Megachile willughbiella","Bee"
"Allium sphaerocephalon","Megachile willughbiella","Bee"
"Allium triquetrum","Megachile willughbiella","Bee"
"Allium ursinum","Megachile willughbiella","Bee"
"Campanula glomerata","Megachile willughbiella","Bee"
"Campanula latifolia","Megachile willughbiella","Bee"
"Campanula persicifolia","Megachile willughbiella","Bee"
"Campanula rotundifolia","Megachile willughbiella","Bee"
"Campanula trachelium","Megachile willughbiella","Bee"
"Carlina vulgaris","Megachile willughbiella","Bee"
"Centaurea cyanus","Megachile willughbiella","Bee"
"Centaurea nigra","Megachile willughbiella","Bee"
"Centaurea scabiosa","Megachile willughbiella","Bee"
"Chamerion angustifolium","Megachile willughbiella","Bee"
"Cirsium vulgare","Megachile willughbiella","Bee"
"Equisetum telmateia","Megachile willughbiella","Bee"
"Genista tinctoria","Megachile willughbiella","Bee"
"Geranium dissectum","Megachile willughbiella","Bee"
"Geranium endressii","Megachile willughbiella","Bee"
"Geranium molle","Megachile willughbiella","Bee"
"Geranium phaeum","Megachile willughbiella","Bee"
"Geranium pratense","Megachile willughbiella","Bee"
"Geranium pyrenaicum","Megachile willughbiella","Bee"
"Geranium robertianum","Megachile willughbiella","Bee"
"Geranium sanguineum","Megachile willughbiella","Bee"
"Geranium sylvaticum","Megachile willughbiella","Bee"
"Jasione montana","Megachile willughbiella","Bee"
"Knautia arvensis","Megachile willughbiella","Bee"
"Lathyrus latifolius","Megachile willughbiella","Bee"
"Lotus corniculatus","Megachile willughbiella","Bee"
"Lotus pedunculatus","Megachile willughbiella","Bee"
"Onobrychis viciifolia","Megachile willughbiella","Bee"
"Ononis repens","Megachile willughbiella","Bee"
"Pilosella aurantiaca","Megachile willughbiella","Bee"
"Thymus polytrichus","Megachile willughbiella","Bee"
"Thymus pulegioides","Megachile willughbiella","Bee"
"Thymus serpyllum","Megachile willughbiella","Bee"
"Trifolium repens","Megachile willughbiella","Bee"
"Ulex minor","Megachile willughbiella","Bee"
"Veronica beccabunga","Megachile willughbiella","Bee"
"Veronica chamaedrys","Megachile willughbiella","Bee"
"Veronica officinalis","Megachile willughbiella","Bee"
"Veronica persica","Megachile willughbiella","Bee"
"Veronica spicata","Megachile willughbiella","Bee"
"Ajuga reptans","Melecta albifrons","Bee"
"Brassica oleracea","Melecta albifrons","Bee"
"Lamium album","Melecta albifrons","Bee"
"Lamium purpureum","Melecta albifrons","Bee"
"Melilotus albus","Melecta albifrons","Bee"
"Melilotus altissimus","Melecta albifrons","Bee"
"Melilotus officinalis","Melecta albifrons","Bee"
"Pulmonaria officinalis","Melecta albifrons","Bee"
"Salix alba","Melecta albifrons","Bee"
"Salix aurita","Melecta albifrons","Bee"
"Salix caprea","Melecta albifrons","Bee"
"Salix cinerea","Melecta albifrons","Bee"
"Salix fragilis","Melecta albifrons","Bee"
"Salix pentandra","Melecta albifrons","Bee"
"Salix repens","Melecta albifrons","Bee"
"Salix viminalis","Melecta albifrons","Bee"
"Taraxacum","Melecta albifrons","Bee"
"Ulex europaeus","Melecta albifrons","Bee"
"Viburnum lantana","Melecta albifrons","Bee"
"Viburnum opulus","Melecta albifrons","Bee"
"Echium vulgare","Melitta dimidiata","Bee"
"Onobrychis viciifolia","Melitta dimidiata","Bee"
"Campanula glomerata","Melitta haemorrhoidalis","Bee"
"Campanula latifolia","Melitta haemorrhoidalis","Bee"
"Campanula persicifolia","Melitta haemorrhoidalis","Bee"
"Campanula rotundifolia","Melitta haemorrhoidalis","Bee"
"Campanula trachelium","Melitta haemorrhoidalis","Bee"
"Geranium dissectum","Melitta haemorrhoidalis","Bee"
"Geranium endressii","Melitta haemorrhoidalis","Bee"
"Geranium molle","Melitta haemorrhoidalis","Bee"
"Geranium phaeum","Melitta haemorrhoidalis","Bee"
"Geranium pratense","Melitta haemorrhoidalis","Bee"
"Geranium pyrenaicum","Melitta haemorrhoidalis","Bee"
"Geranium robertianum","Melitta haemorrhoidalis","Bee"
"Geranium sanguineum","Melitta haemorrhoidalis","Bee"
"Geranium sylvaticum","Melitta haemorrhoidalis","Bee"
"Origanum vulgare","Melitta haemorrhoidalis","Bee"
"Phyteuma orbiculare","Melitta haemorrhoidalis","Bee"
"Tussilago farfara","Melitta haemorrhoidalis","Bee"
"Centaurea cyanus","Melitta leporina","Bee"
"Centaurea nigra","Melitta leporina","Bee"
"Centaurea scabiosa","Melitta leporina","Bee"
"Cirsium arvense","Melitta leporina","Bee"
"Erica vagans","Melitta leporina","Bee"
"Knautia arvensis","Melitta leporina","Bee"
"Limonium binervosum","Melitta leporina","Bee"
"Limonium vulgare","Melitta leporina","Bee"
"Linaria purpurea","Melitta leporina","Bee"
"Medicago sativa","Melitta leporina","Bee"
"Melilotus albus","Melitta leporina","Bee"
"Melilotus altissimus","Melitta leporina","Bee"
"Melilotus officinalis","Melitta leporina","Bee"
"Odontites vernus","Melitta leporina","Bee"
"Origanum vulgare","Melitta leporina","Bee"
"Scabiosa columbaria","Melitta leporina","Bee"
"Senecio jacobaea","Melitta leporina","Bee"
"Trifolium campestre","Melitta leporina","Bee"
"Trifolium dubium","Melitta leporina","Bee"
"Trifolium hybridum","Melitta leporina","Bee"
"Trifolium medium","Melitta leporina","Bee"
"Trifolium occidentale","Melitta leporina","Bee"
"Trifolium pratense","Melitta leporina","Bee"
"Trifolium repens","Melitta leporina","Bee"
"Veronica beccabunga","Melitta leporina","Bee"
"Veronica chamaedrys","Melitta leporina","Bee"
"Veronica officinalis","Melitta leporina","Bee"
