plant,insect,group
"Succisa pratensis","Andrena bicolor","Bee"
"Taraxacum","Andrena bicolor","Bee"
"Thymus polytrichus","Andrena bicolor","Bee"
"Thymus pulegioides","Andrena bicolor","Bee"
"Thymus serpyllum","Andrena bicolor","Bee"
"Tussilago farfara","Andrena bicolor","Bee"
"Ulex europaeus","Andrena bicolor","Bee"
"Ulex gallii","Andrena bicolor","Bee"
"Ulex minor","Andrena bicolor","Bee"
"Verbascum nigrum","Andrena bicolor","Bee"
"Veronica beccabunga","Andrena bicolor","Bee"
"Veronica chamaedrys","Andrena bicolor","Bee"
"Veronica officinalis","Andrena bicolor","Bee"
"Veronica persica","Andrena bicolor","Bee"
"Veronica spicata","Andrena bicolor","Bee"
"Viola arvensis","Andrena bicolor","Bee"
"Viola hirta","Andrena bicolor","Bee"
"Viola odorata","Andrena bicolor","Bee"
"Viola riviniana","Andrena bicolor","Bee"
"Viola tricolor","Andrena bicolor","Bee"
"Heracleum sphondylium","Andrena bimaculata","Bee"
"Rubus caesius","Andrena bimaculata","Bee"
"Rubus fruticosus","Andrena bimaculata","Bee"
"Rubus idaeus","Andrena bimaculata","Bee"
"Rubus spectabilis","Andrena bimaculata","Bee"
"Acer campestre","Andrena bucephala","Bee"
"Acer pseudoplatanus","Andrena bucephala","Bee"
"Crataegus monogyna","Andrena bucephala","Bee"
"Acer campestre","Andrena carantonica","Bee"
"Acer platanoides","Andrena carantonica","Bee"
"Angelica sylvestris","Andrena carantonica","Bee"
"Brassica napus","Andrena carantonica","Bee"
"Bryonia dioica","Andrena carantonica","Bee"
"Cotoneaster bullatus","Andrena carantonica","Bee"
"Cotoneaster horizontalis","Andrena carantonica","Bee"
"Cotoneaster simonsii","Andrena carantonica","Bee"
"Crataegus monogyna","Andrena carantonica","Bee"
"Euphorbia amygdaloides","Andrena carantonica","Bee"
"Heracleum sphondylium","Andrena carantonica","Bee"
"Ilex aquifolium","Andrena carantonica","Bee"
"Laurus nobilis","Andrena carantonica","Bee"
"Pilosella aurantiaca","Andrena carantonica","Bee"
"Pilosella officinarum","Andrena carantonica","Bee"
"Prunus avium","Andrena carantonica","Bee"
"Prunus cerasifera","Andrena carantonica","Bee"
"Prunus cerasus","Andrena carantonica","Bee"
"Prunus domestica","Andrena carantonica","Bee"
"Prunus laurocerasus","Andrena carantonica","Bee"
"Prunus padus","Andrena carantonica","Bee"
"Prunus spinosa","Andrena carantonica","Bee"
"Salix alba","Andrena carantonica","Bee"
"Salix aurita","Andrena carantonica","Bee"
"Salix caprea","Andrena carantonica","Bee"
"Salix cinerea","Andrena carantonica","Bee"
"Salix fragilis","Andrena carantonica","Bee"
"Salix pentandra","Andrena carantonica","Bee"
"Salix repens","Andrena carantonica","Bee"
"Salix viminalis","Andrena carantonica","Bee"
"Smyrnium olusatrum","Andrena carantonica","Bee"
"Taraxacum","Andrena carantonica","Bee"
"Ulex europaeus","Andrena carantonica","Bee"
"Vaccinium myrtillus","Andrena carantonica","Bee"
"Vaccinium uliginosum","Andrena carantonica","Bee"
"Vaccinium vitis-idaea","Andrena carantonica","Bee"
"Vicia faba","Andrena carantonica","Bee"
"Acer campestre","Andrena chrysosceles","Bee"
"Acer platanoides","Andrena chrysosceles","Bee"
"Acer pseudoplatanus","Andrena chrysosceles","Bee"
"Aesculus hippocastanum","Andrena chrysosceles","Bee"
"Anthriscus sylvestris","Andrena chrysosceles","Bee"
"Barbarea vulgaris","Andrena chrysosceles","Bee"
"Bellis perennis","Andrena chrysosceles","Bee"
"Brassica napus","Andrena chrysosceles","Bee"
"Conium maculatum","Andrena chrysosceles","Bee"
"Conopodium majus","Andrena chrysosceles","Bee"
"Cornus sanguinea","Andrena chrysosceles","Bee"
"Crataegus monogyna","Andrena chrysosceles","Bee"
"Euphorbia amygdaloides","Andrena chrysosceles","Bee"
"Euphorbia hyberna","Andrena chrysosceles","Bee"
"Euphorbia paralias","Andrena chrysosceles","Bee"
"Euphorbia portlandica","Andrena chrysosceles","Bee"
"Ficaria verna","Andrena chrysosceles","Bee"
"Filipendula vulgaris","Andrena chrysosceles","Bee"
"Heracleum sphondylium","Andrena chrysosceles","Bee"
"Malus domestica","Andrena chrysosceles","Bee"
"Malus sylvestris","Andrena chrysosceles","Bee"
"Narcissus pseudonarcissus","Andrena chrysosceles","Bee"
"Oenanthe crocata","Andrena chrysosceles","Bee"
"Oenanthe pimpinelloides","Andrena chrysosceles","Bee"
"Oenanthe silaifolia","Andrena chrysosceles","Bee"
"Prunus domestica","Andrena chrysosceles","Bee"
"Prunus spinosa","Andrena chrysosceles","Bee"
"Pyrus communis","Andrena chrysosceles","Bee"
"Ranunculus repens","Andrena chrysosceles","Bee"
"Salix alba","Andrena chrysosceles","Bee"
"Salix aurita","Andrena chrysosceles","Bee"
"Salix caprea","Andrena chrysosceles","Bee"
"Salix cinerea","Andrena chrysosceles","Bee"
"Salix fragilis","Andrena chrysosceles","Bee"
"Salix pentandra","Andrena chrysosceles","Bee"
"Salix repens","Andrena chrysosceles","Bee"
"Salix viminalis","Andrena chrysosceles","Bee"
"Sambucus nigra","Andrena chrysosceles","Bee"
"Sorbus aria","Andrena chrysosceles","Bee"
